global_step,episodic_return
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
325376,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
742656,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
908160,0.00
