global_step,episodic_return
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
1035264,1100.00
